weeknum,member_casual,avg_ride_length_Min,,Sum of avg_ride_length_Min,Column Labels,,
1,casual,31.95,,Row Labels,casual,member,Grand Total
7,casual,27.67,,1,31.9538136,10.71726533,42.67107894
2,casual,24.29,,2,24.28528645,10.51578781,34.80107426
27,casual,24.16,,3,21.59984905,10.18729338,31.78714243
6,casual,23.65,,4,19.2787191,10.12788966,29.40660877
12,casual,23.29,,5,21.74610766,10.6305033,32.37661096
14,casual,22.89,,6,23.65261131,10.94288929,34.5955006
15,casual,22.85,,7,27.66532014,11.11379056,38.77911069
8,casual,22.80,,8,22.79680609,10.33558863,33.13239472
5,casual,21.75,,9,20.72678283,10.69304584,31.41982868
11,casual,21.60,,10,19.11522753,10.15321682,29.26844435
3,casual,21.60,,11,21.60466833,10.25575225,31.86042059
30,casual,21.10,,12,23.28538408,10.85368624,34.13907032
21,casual,20.73,,13,19.96573123,10.31820069,30.28393192
9,casual,20.73,,14,22.88695066,11.50870036,34.39565102
22,casual,20.67,,15,22.8471448,12.71105205,35.55819685
25,casual,20.20,,16,16.31282998,10.90186011,27.21469008
31,casual,20.02,,17,16.64469646,10.99344375,27.63814021
29,casual,20.00,,18,19.85576892,11.91204456,31.76781347
13,casual,19.97,,19,17.49193323,11.93774906,29.42968229
18,casual,19.86,,20,19.72903737,12.4281616,32.15719897
20,casual,19.73,,21,20.72690191,12.14734071,32.87424262
4,casual,19.28,,22,20.66901539,13.23870698,33.90772238
10,casual,19.12,,23,18.63276885,12.50331918,31.13608802
24,casual,18.99,,24,18.99416599,12.60112693,31.59529292
26,casual,18.68,,25,20.20385726,13.34960322,33.55346048
23,casual,18.63,,26,18.68352464,12.44343972,31.12696435
28,casual,18.27,,27,24.16369615,13.37822486,37.54192101
19,casual,17.49,,28,18.27183784,12.3668844,30.63872224
17,casual,16.64,,29,20.000625,12.73504241,32.73566741
16,casual,16.31,,30,21.09724441,13.02386961,34.12111402
27,member,13.38,,31,20.01783841,12.46245868,32.48029709
25,member,13.35,,Grand Total,654.9061447,359.487938,1014.394083
22,member,13.24,,,,,
30,member,13.02,,,,,
29,member,12.74,,,,,
15,member,12.71,,,,,
24,member,12.60,,,,,
23,member,12.50,,,,,
31,member,12.46,,,,,
26,member,12.44,,,,,
20,member,12.43,,,,,
28,member,12.37,,,,,
21,member,12.15,,,,,
19,member,11.94,,,,,
18,member,11.91,,,,,
14,member,11.51,,,,,
7,member,11.11,,,,,
17,member,10.99,,,,,
6,member,10.94,,,,,
16,member,10.90,,,,,
12,member,10.85,,,,,
1,member,10.72,,,,,
9,member,10.69,,,,,
5,member,10.63,,,,,
2,member,10.52,,,,,
8,member,10.34,,,,,
13,member,10.32,,,,,
11,member,10.26,,,,,
3,member,10.19,,,,,
10,member,10.15,,,,,
4,member,10.13,,,,,
