member_casual,route,route_frequency,avg_ride_length_second
casual,Public Rack - Western Ave & Devon Ave - Clark St & Lunt Ave,1,636
casual,Michigan Ave & 18th St - Aberdeen St & Monroe St,1,969
casual,Francisco Ave & Foster Ave - Manor Ave & Leland Ave,1,525
casual,Western Ave & Walton St - Dearborn St & Monroe St,1,1125
casual,Clinton St & Roosevelt Rd - Desplaines St & Randolph St,1,611
casual,Green St & Madison St - Desplaines St & Randolph St,1,343
casual,Blue Island Ave & 18th St - Ashland Ave & Archer Ave,1,644
casual,Clybourn Ave & Division St - Wabash Ave & Grand Ave,1,236
casual,Public Rack - Milwaukee Ave & Addison St - Public Rack - Milwaukee Ave & Diversey Ave,1,585
casual,Morgan St & 18th St - Western Ave & Monroe St,1,924
casual,Racine Ave & Randolph St - LaSalle Dr & Huron St,1,678
casual,Michigan Ave & Oak St - Larrabee St & Armitage Ave,1,746
casual,Clark St & Wellington Ave - Larrabee St & Armitage Ave,1,599
casual,Clark St & Elmdale Ave - Broadway & Ridge Ave,1,283
casual,Clybourn Ave & Division St - Kimball Ave & Belmont Ave,1,2976
casual,Ashland Ave & 13th St - Kedzie Ave & Roosevelt Rd,1,997
casual,Malcolm X College - Dearborn St & Van Buren St,1,5563
casual,Kedzie Ave & 110th St - Western Ave & 104th St,1,868
casual,Washtenaw Ave & Ogden Ave - Washtenaw Ave & Ogden Ave,1,621
casual,Albany Ave & Bloomingdale Ave - Latrobe Ave & Chicago Ave,1,1039
casual,Lawndale Ave & 111th St - Major Taylor Trail & 115th St,1,1160
casual,Albany Ave & Montrose Ave - Drake Ave & Montrose Ave,1,188
casual,Ravenswood Ave & Irving Park Rd - Glenwood Ave & Morse Ave,1,2287
casual,LaSalle St & Adams St - Clark St & Ida B Wells Dr,1,654
casual,Shedd Aquarium - Ashland Ave & Grace St,1,2060
casual,Halsted St & 21st St - Michigan Ave & 14th St,1,816
casual,Clinton St & Roosevelt Rd - Cityfront Plaza Dr & Pioneer Ct,1,1304
casual,Dayton St & North Ave - Franklin St & Jackson Blvd,1,1420
casual,Wilton Ave & Diversey Pkwy* - Lincoln Ave & Fullerton Ave,1,1295
casual,Financial Pl & Ida B Wells Dr - St. Clair St & Erie St,1,595
casual,Sedgwick St & North Ave - Kilpatrick Ave & Grand Ave,1,1797
casual,Shedd Aquarium - Desplaines St & Kinzie St,1,1995
casual,Franklin St & Chicago Ave - Wabash Ave & Roosevelt Rd,1,909
casual,Milwaukee Ave & Fullerton Ave - Clark St & Elm St,1,1082
casual,Clark St & 9th St (AMLI) - Desplaines St & Jackson Blvd,1,396
casual,Green St & Madison St - Morgan St & Lake St*,1,252
casual,Ashland Ave & Division St - Morgan St & Lake St*,1,583
casual,Desplaines St & Randolph St - Morgan St & Lake St*,1,226
casual,Racine Ave & Congress Pkwy - Green St & Washington Blvd,1,802
casual,Wood St & Augusta Blvd - Franklin St & Chicago Ave,1,896
casual,Seeley Ave & Roscoe St - Clark St & Winnemac Ave,1,933
casual,Western Ave & Granville Ave - Lakeview Ave & Fullerton Pkwy,1,2359
casual,Wabash Ave & Wacker Pl - Rush St & Hubbard St,1,1031
casual,Larrabee St & Kingsbury St - Ravenswood Ave & Irving Park Rd,1,493
casual,Dearborn Pkwy & Delaware Pl - Peoria St & Jackson Blvd,1,1137
casual,Dearborn St & Adams St - Larrabee St & Kingsbury St,1,779
casual,Sheffield Ave & Wellington Ave - Winchester Ave & Elston Ave,1,684
casual,Richmond St & 59th St - Richmond St & 59th St,1,12
casual,Cityfront Plaza Dr & Pioneer Ct - Ada St & Washington Blvd,1,942
casual,Clark St & Wrightwood Ave - Sheridan Rd & Montrose Ave,1,595
casual,Canal St & Adams St - Clark St & Schreiber Ave,1,409
casual,Canal St & Jackson Blvd - Clark St & Schreiber Ave,1,852
casual,Maplewood Ave & Peterson Ave - Knox Ave & Montrose Ave,1,3239
casual,Sangamon St & Lake St - Orleans St & Hubbard St,1,257
casual,Central Ave & Parker Ave - Fullerton & Monitor,1,407
casual,California Ave & Milwaukee Ave - Racine Ave & Randolph St,1,1499
casual,Public Rack - Robert Fulton Elementary School - Public Rack - Western Blvd & 49th St,1,353
casual,Lincoln Ave & Belmont Ave (Temp) - Southport Ave & Roscoe St,1,645
casual,Morgan St & Polk St - Western Ave & Congress Pkwy,1,915
casual,Ashland Ave & 13th St - Ashland Ave & Archer Ave,1,768
casual,Peoria St & Jackson Blvd - Wacker Dr & Washington St,1,422
casual,Elston Ave & Cortland St - Dearborn St & Monroe St,1,1782
casual,Sayre & Diversey - Austin Blvd & Lake St,1,3401
casual,Greenview Ave & Fullerton Ave - Elston Ave & Wabansia Ave,1,544
casual,Clark St & Randolph St - Hermitage Ave & Polk St,1,1370
casual,W Oakdale Ave & N Broadway - Clark St & Grace St,1,445
casual,Jefferson St & Monroe St - Canal St & Adams St,1,181
casual,Broadway & Ridge Ave - Clark St & Columbia Ave,1,465
casual,Peoria St & Jackson Blvd - Wabash Ave & Grand Ave,1,1019
casual,Clark St & 9th St (AMLI) - Halsted St & Maxwell St,1,336
casual,Sangamon St & Washington Blvd - Kingsbury St & Erie St,1,603
casual,Logan Blvd & Elston Ave - Kingsbury St & Erie St,1,1299
casual,Ashland Ave & Wellington Ave - Talman Ave & Addison St,1,524
casual,Cityfront Plaza Dr & Pioneer Ct - Franklin St & Monroe St,1,463
casual,Halsted St & North Branch St - Wells St & Evergreen Ave,1,740
casual,Southport Ave & Belmont Ave - Sedgwick St & North Ave,1,769
casual,Wood St & Chicago Ave - Loomis St & Jackson Blvd,1,669
casual,Green St & Randolph St* - Clinton St & Washington Blvd,1,300
