member_casual,route,route_frequency
casual,Chicago Ave & Washington St - Evanston Civic Center,1
casual,Wood St & Hubbard St - Wacker Dr & Washington St,1
casual,Clark St & 9th St (AMLI) - Clinton St & Jackson Blvd,1
casual,Walsh Park - Theater on the Lake,1
casual,California Ave & Cortez St - Clark St & Armitage Ave,1
casual,Racine Ave & Fullerton Ave - Clark St & Bryn Mawr Ave,1
casual,Broadway & Barry Ave - Broadway & Wilson Ave,1
casual,Wood St & Milwaukee Ave - Kedzie Ave & George St,1
casual,Wolcott Ave & Polk St - Sangamon St & Washington Blvd,1
casual,Sangamon St & Washington Blvd - Wells St & Evergreen Ave,1
casual,Halsted St & Archer Ave - May St & Taylor St,1
casual,Morgan St & 18th St - Western Ave & Monroe St,1
casual,LaSalle St & Washington St - Dearborn St & Adams St,1
casual,Sangamon St & Lake St - Dearborn St & Adams St,1
casual,Franklin St & Adams St (Temp) - Clinton St & Washington Blvd,1
casual,Damen Ave & Madison St - Wolcott Ave & Polk St,1
casual,Damen Ave & Thomas St (Augusta Blvd) - Jefferson St & Monroe St,1
casual,Clark St & Wellington Ave - Larrabee St & Armitage Ave,1
casual,Clybourn Ave & Division St - Kimball Ave & Belmont Ave,1
casual,Wood St & Augusta Blvd - Spaulding Ave & Division St,1
casual,Ashland Ave & 13th St - Wabash Ave & 16th St,1
casual,Adler Planetarium - Wells St & Elm St,1
casual,Lakeview Ave & Fullerton Pkwy - Dearborn St & Van Buren St,1
casual,Kimbark Ave & 53rd St - Clark St & Montrose Ave,1
casual,California Ave & Francis Pl (Temp) - Lincoln Ave & Balmoral Ave,1
casual,Wentworth Ave & Cermak Rd - Michigan Ave & Madison St,1
casual,Albany Ave & Bloomingdale Ave - Latrobe Ave & Chicago Ave,1
casual,Rockwell St & Eastwood Ave - Budlong Woods Library,1
casual,Kingsbury St & Kinzie St - Public Rack - Woodlawn Ave & 63rd St N,1
casual,State St & 29th St - Wentworth Ave & Cermak Rd,1
casual,Clark St & Newport St - Damen Ave & Clybourn Ave,1
casual,Sawyer Ave & Irving Park Rd - Clark St & Leland Ave,1
casual,California Ave & Cortez St - Milwaukee Ave & Rockwell St,1
casual,Commercial Ave & 100th St - Commercial Ave & 100th St,1
casual,Wolcott (Ravenswood) Ave & Montrose Ave - Ravenswood Ave & Berteau Ave,1
casual,Central Park Ave & Elbridge Ave - Spaulding Ave & Armitage Ave,1
casual,Sedgwick St & North Ave - Kilpatrick Ave & Grand Ave,1
casual,Dauphin Ave & 103rd St - Wentworth Ave & 104th St,1
casual,Albany Ave & Belmont Ave - St. Louis Ave & Fullerton Ave,1
casual,Racine Ave & Congress Pkwy - Green St & Washington Blvd,1
casual,Winchester Ave & Elston Ave - Sheffield Ave & Wellington Ave,1
casual,Milwaukee Ave & Wabansia Ave - Public Rack - Monticello Ave & Belmont Ave,1
casual,Milwaukee Ave & Wabansia Ave - Public Rack - Milwaukee Ave & Haussen Ct,1
casual,Kingsbury St & Kinzie St - Lakeview Ave & Fullerton Pkwy,1
casual,State St & Randolph St - Buckingham Fountain,1
casual,Sheridan Rd & Greenleaf Ave - Michigan Ave & Oak St,1
casual,Bernard St & Elston Ave - Bernard St & Elston Ave,1
casual,Albany Ave & Bloomingdale Ave - Central Park Ave & Elbridge Ave,1
casual,Sheffield Ave & Wellington Ave - Winchester Ave & Elston Ave,1
casual,Michigan Ave & Jackson Blvd - Kedzie Ave & 48th Pl,1
casual,Knox Ave & Montrose Ave - California Ave & Winona St,1
casual,Damen Ave & Thomas St (Augusta Blvd) - Ada St & Washington Blvd,1
casual,Lake Park Ave & 53rd St - South Shore Dr & 71st St,1
casual,Albany Ave & Bloomingdale Ave - Rush St & Superior St,1
casual,Green St & Randolph St* - Ashland Ave & Grand Ave,1
casual,Columbus Dr & Randolph St - Ashland Ave & Grand Ave,1
casual,Jefferson St & Monroe St - Shedd Aquarium,1
casual,Stony Island Ave & 64th St - Stony Island Ave & 71st St,1
casual,Wentworth Ave & Cermak Rd - Wood St & Chicago Ave,1
casual,Clark St & Drummond Pl - Wood St & Chicago Ave,1
casual,Wilton Ave & Diversey Pkwy* - Southport Ave & Roscoe St,1
casual,Milwaukee Ave & Wabansia Ave - Leavitt St & Division St,1
casual,Clark St & Elm St - Wood St & Milwaukee Ave,1
casual,Sedgwick St & Schiller St - Clark St & Wrightwood Ave,1
casual,Lincoln Park Conservatory - Broadway & Barry Ave,1
casual,Commercial Ave & 100th St - Houston Ave & 92nd St,1
casual,Aberdeen St & Jackson Blvd - Wacker Dr & Washington St,1
casual,Orleans St & Merchandise Mart Plaza - N Southport Ave & W Newport Ave,1
casual,Clark St & Columbia Ave - Sheridan Rd & Lawrence Ave,1
casual,W Oakdale Ave & N Broadway - Clark St & Grace St,1
casual,Daley Center Plaza - Public Rack - Kildare Ave & Division St,1
casual,Jeffery Blvd & 71st St - Jeffery Blvd & 67th St,1
casual,Sheffield Ave & Wellington Ave - Halsted St & Maxwell St,1
casual,Dearborn St & Van Buren St - State St & Randolph St,1
casual,Racine Ave & Congress Pkwy - State St & Randolph St,1
casual,Cityfront Plaza Dr & Pioneer Ct - Franklin St & Monroe St,1
casual,Kimball Ave & Belmont Ave - Albany Ave & Belmont Ave,1
casual,Loomis St & Jackson Blvd - Sangamon St & Washington Blvd,1
casual,Halsted St & 18th St - Sangamon St & Washington Blvd,1
