end_station_name,member_casual,count_of_users,,,end_station_name,count_of_users
Streeter Dr & Grand Ave,casual,10636,,,Streeter Dr & Grand Ave,10636
DuSable Lake Shore Dr & North Blvd,casual,6491,,,DuSable Lake Shore Dr & North Blvd,6491
DuSable Lake Shore Dr & Monroe St,casual,4321,,,DuSable Lake Shore Dr & Monroe St,4321
Shedd Aquarium,casual,4314,,,Shedd Aquarium,4314
Clark St & Wrightwood Ave,casual,3883,,,Clark St & Wrightwood Ave,3883
Wells St & Concord Ln,casual,3660,,,,
DuSable Lake Shore Dr & Diversey Pkwy,casual,3603,,,,
Ashland Ave & Division St,casual,3523,,,,
Millennium Park,casual,3375,,,,
Sheffield Ave & Waveland Ave,casual,3296,,,,
Michigan Ave & Lake St,casual,3118,,,,
Sheffield Ave & Fullerton Ave,casual,3056,,,,
Clark St & Schiller St,casual,3009,,,,
Sheffield Ave & Wrightwood Ave,casual,2916,,,,
LaSalle St & Illinois St,casual,2748,,,,
Theater on the Lake,casual,2668,,,,
Halsted St & Clybourn Ave,casual,2646,,,,
Canal St & Madison St,casual,2602,,,,
Clark St & Winnemac Ave,casual,2559,,,,
Broadway & Cornelia Ave,casual,2496,,,,
Clinton St & Lake St,casual,2356,,,,
Green St & Madison St,casual,2316,,,,
State St & Chicago Ave,casual,2225,,,,
Federal St & Polk St,casual,2206,,,,
Mies van der Rohe Way & Chestnut St,casual,2153,,,,
California Ave & Milwaukee Ave,casual,2142,,,,
Wabash Ave & Wacker Pl,casual,2083,,,,
Damen Ave & Pierce Ave,casual,2075,,,,
Honore St & Division St,casual,2035,,,,
Pine Grove Ave & Waveland Ave,casual,2028,,,,
State St & Kinzie St,casual,2005,,,,
Southport Ave & Belmont Ave,casual,2004,,,,
Clark St & Lincoln Ave,casual,1995,,,,
Kingsbury St & Kinzie St,casual,1987,,,,
Clark St & Elm St,casual,1977,,,,
Rush St & Superior St,casual,1956,,,,
Lincoln Park Conservatory,casual,1943,,,,
Ellis Ave & 60th St,casual,1881,,,,
May St & Taylor St,casual,1879,,,,
Clarendon Ave & Gordon Ter,casual,1870,,,,
Southport Ave & Wellington Ave,casual,1796,,,,
Wilton Ave & Belmont Ave,casual,1788,,,,
Clinton St & Madison St,casual,1775,,,,
Wells St & Hubbard St,casual,1718,,,,
Indiana Ave & Roosevelt Rd,casual,1652,,,,
Kimbark Ave & 53rd St,casual,1648,,,,
Peoria St & Jackson Blvd,casual,1612,,,,
Kingsbury St & Erie St,casual,1604,,,,
Field Museum,casual,1586,,,,
Lakefront Trail & Wilson Ave,casual,1585,,,,
Canal St & Adams St,casual,1582,,,,
Ellis Ave & 55th St,casual,1561,,,,
Michigan Ave & 8th St,casual,1537,,,,
Wells St & Evergreen Ave,casual,1528,,,,
Fairbanks Ct & Grand Ave,casual,1520,,,,
Wells St & Huron St,casual,1503,,,,
Dayton St & North Ave,casual,1490,,,,
New St & Illinois St,casual,1472,,,,
Broadway & Sheridan Rd,casual,1462,,,,
Columbus Dr & Randolph St,casual,1453,,,,
Larrabee St & Webster Ave,casual,1445,,,,
Larrabee St & Division St,casual,1407,,,,
Sheffield Ave & Webster Ave,casual,1396,,,,
Clark St & Newport St,casual,1379,,,,
Broadway & Waveland Ave,casual,1346,,,,
Larrabee St & Kingsbury St,casual,1299,,,,
Desplaines St & Kinzie St,casual,1298,,,,
Southport Ave & Clybourn Ave,casual,1298,,,,
Franklin St & Illinois St,casual,1272,,,,
State St & Harrison St,casual,1249,,,,
LaSalle Dr & Huron St,casual,1243,,,,
Lincoln Ave & Diversey Pkwy,casual,1240,,,,
Bissell St & Armitage Ave*,casual,1231,,,,
Racine Ave & Belmont Ave,casual,1230,,,,
Greenview Ave & Fullerton Ave,casual,1195,,,,
Wood St & Chicago Ave,casual,1193,,,,
Sheffield Ave & Wellington Ave,casual,1182,,,,
Damen Ave & Thomas St (Augusta Blvd),casual,1169,,,,
Blue Island Ave & 18th St,casual,1166,,,,
Field Blvd & South Water St,casual,1163,,,,
Wabash Ave & 9th St,casual,1155,,,,
Wabash Ave & Grand Ave,casual,1147,,,,
Marine Dr & Ainslie St,casual,1142,,,,
Franklin St & Adams St (Temp),casual,1112,,,,
Franklin St & Lake St,casual,1091,,,,
Green St & Randolph St*,casual,1085,,,,
Clinton St & Washington Blvd,casual,1081,,,,
DuSable Lake Shore Dr & Wellington Ave,casual,1079,,,,
Broadway & Thorndale Ave,casual,1057,,,,
McClurg Ct & Erie St,casual,1050,,,,
Franklin St & Jackson Blvd,casual,1049,,,,
Ashland Ave & Grace St,casual,1038,,,,
Wells St & Polk St,casual,1038,,,,
Wolcott (Ravenswood) Ave & Montrose Ave,casual,1038,,,,
Racine Ave & Fullerton Ave,casual,1034,,,,
Dusable Harbor,casual,1034,,,,
Lake Park Ave & 56th St,casual,1031,,,,
Broadway & Barry Ave,casual,1020,,,,
Milwaukee Ave & Grand Ave,casual,1013,,,,
Sheridan Rd & Lawrence Ave,casual,1009,,,,
Shore Dr & 55th St,casual,1000,,,,
Dearborn St & Erie St,casual,985,,,,
University Ave & 57th St,casual,962,,,,
Benson Ave & Church St,casual,955,,,,
Clinton St & Jackson Blvd,casual,954,,,,
Burnham Harbor,casual,952,,,,
Halsted St & Willow St,casual,950,,,,
McClurg Ct & Ohio St,casual,946,,,,
Canal St & Monroe St,casual,942,,,,
Delano Ct & Roosevelt Rd,casual,937,,,,
California Ave & Division St,casual,926,,,,
Morgan St & Polk St,casual,926,,,,
Stockton Dr & Wrightwood Ave,casual,924,,,,
Ashland Ave & Wrightwood Ave,casual,922,,,,
Wabash Ave & 16th St,casual,921,,,,
Sheffield Ave & Willow St,casual,914,,,,
Seeley Ave & Roscoe St,casual,901,,,,
Racine Ave & Wrightwood Ave,casual,898,,,,
Damen Ave & Chicago Ave,casual,886,,,,
Carpenter St & Huron St,casual,880,,,,
Michigan Ave & Washington St,casual,870,,,,
Mies van der Rohe Way & Chicago Ave,casual,860,,,,
Aberdeen St & Randolph St,casual,858,,,,
Ritchie Ct & Banks St,casual,855,,,,
Michigan Ave & Oak St,casual,854,,,,
Wood St & Augusta Blvd,casual,849,,,,
Clark St & Chicago Ave,casual,849,,,,
Wabash Ave & Roosevelt Rd,casual,840,,,,
Lincoln Ave & Fullerton Ave,casual,830,,,,
Sheridan Rd & Noyes St (NU),casual,821,,,,
Ashland Ave & Lake St,casual,814,,,,
Clark St & Bryn Mawr Ave,casual,812,,,,
Dearborn Pkwy & Delaware Pl,casual,805,,,,
Damen Ave & Division St,casual,796,,,,
Rush St & Cedar St,casual,794,,,,
Damen Ave & Wellington Ave,casual,793,,,,
Sedgwick St & Schiller St,casual,790,,,,
Jefferson St & Monroe St,casual,780,,,,
Sheridan Rd & Buena Ave,casual,776,,,,
Broadway & Berwyn Ave,casual,769,,,,
Damen Ave & Cortland St,casual,765,,,,
Adler Planetarium,casual,765,,,,
Clarendon Ave & Leland Ave,casual,763,,,,
Clark St & Grace St,casual,761,,,,
Lincoln Ave & Belle Plaine Ave,casual,760,,,,
Clark St & Leland Ave,casual,758,,,,
Aberdeen St & Monroe St,casual,753,,,,
Michigan Ave & 14th St,casual,738,,,,
Sheridan Rd & Montrose Ave,casual,733,,,,
Clark St & Montrose Ave,casual,730,,,,
State St & Pearson St,casual,722,,,,
Sheffield Ave & Kingsbury St,casual,711,,,,
Hermitage Ave & Polk St,casual,710,,,,
Eckhart Park,casual,709,,,,
Calumet Ave & 21st St,casual,707,,,,
Wells St & Institute Pl,casual,703,,,,
Halsted St & Fulton St,casual,696,,,,
Elizabeth St & Fulton St,casual,684,,,,
Clark St & North Ave,casual,682,,,,
California Ave & Cortez St,casual,680,,,,
Damen Ave & Grand Ave,casual,679,,,,
Paulina St & 18th St,casual,672,,,,
Southport Ave & Irving Park Rd,casual,669,,,,
Wentworth Ave & Cermak Rd,casual,667,,,,
Halsted St & Dickens Ave,casual,667,,,,
Halsted St & Roosevelt Rd,casual,665,,,,
Lincoln Ave & Belmont Ave (Temp),casual,662,,,,
Western Ave & Walton St,casual,654,,,,
Clinton St & Roosevelt Rd,casual,652,,,,
Larrabee St & Menomonee St,casual,644,,,,
Loomis St & Jackson Blvd,casual,637,,,,
Western Ave & Winnebago Ave,casual,628,,,,
Racine Ave & Washington Blvd,casual,626,,,,
Milwaukee Ave & Rockwell St,casual,625,,,,
Orleans St & Hubbard St,casual,619,,,,
Broadway & Belmont Ave,casual,617,,,,
Sangamon St & Lake St,casual,616,,,,
Ashland Ave & Blackhawk St,casual,610,,,,
Western Ave & Division St,casual,609,,,,
Ogden Ave & Race Ave,casual,607,,,,
Ravenswood Ave & Lawrence Ave,casual,607,,,,
Sedgwick St & Webster Ave,casual,596,,,,
Wells St & Elm St,casual,594,,,,
Emerald Ave & 31st St,casual,590,,,,
DuSable Lake Shore Dr & Belmont Ave,casual,589,,,,
Orleans St & Chestnut St (NEXT Apts),casual,584,,,,
California Ave & Montrose Ave,casual,577,,,,
St. Clair St & Erie St,casual,574,,,,
Central Park Ave & Bloomingdale Ave,casual,574,,,,
Wilton Ave & Diversey Pkwy,casual,574,,,,
State St & Van Buren St,casual,571,,,,
Clark St & Randolph St,casual,570,,,,
Desplaines St & Jackson Blvd,casual,568,,,,
900 W Harrison St,casual,566,,,,
Aberdeen St & Jackson Blvd,casual,563,,,,
Logan Blvd & Elston Ave,casual,561,,,,
State St & 35th St,casual,560,,,,
State St & Randolph St,casual,547,,,,
Rhodes Ave & 32nd St,casual,546,,,,
Blackstone Ave & Hyde Park Blvd,casual,543,,,,
Leavitt St & Chicago Ave,casual,543,,,,
LaSalle St & Adams St,casual,532,,,,
Ogden Ave & Chicago Ave,casual,530,,,,
Sheridan Rd & Irving Park Rd,casual,529,,,,
Woodlawn Ave & 55th St,casual,526,,,,
Western Ave & Leland Ave,casual,517,,,,
Cornell Ave & Hyde Park Blvd,casual,515,,,,
Greenview Ave & Jarvis Ave,casual,512,,,,
State St & 33rd St,casual,510,,,,
Halsted St & Polk St,casual,509,,,,
