start_station_name,member_casual,count_of_users,,,start_station_name,count_of_users
Streeter Dr & Grand Ave,casual,5596,,,Streeter Dr & Grand Ave,5596
DuSable Lake Shore Dr & Monroe St,casual,3915,,,DuSable Lake Shore Dr & Monroe St,3915
DuSable Lake Shore Dr & North Blvd,casual,3634,,,DuSable Lake Shore Dr & North Blvd,3634
Shedd Aquarium,casual,3071,,,,
Michigan Ave & Oak St,casual,2979,,,,
Millennium Park,casual,2911,,,,
Michigan Ave & Lake St,casual,2365,,,,
Dusable Harbor,casual,2348,,,,
Theater on the Lake,casual,2333,,,,
Clark St & Armitage Ave,casual,2293,,,,
Clark St & Elm St,casual,2269,,,,
Wells St & Concord Ln,casual,2124,,,,
DuSable Lake Shore Dr & Diversey Pkwy,casual,2109,,,,
Indiana Ave & Roosevelt Rd,casual,2087,,,,
Broadway & Barry Ave,casual,2032,,,,
Wabash Ave & Grand Ave,casual,1954,,,,
Clark St & Newport St,casual,1948,,,,
Clark St & Wrightwood Ave,casual,1930,,,,
Wilton Ave & Belmont Ave,casual,1928,,,,
Wells St & Elm St,casual,1921,,,,
Michigan Ave & Washington St,casual,1915,,,,
Clark St & Lincoln Ave,casual,1908,,,,
Kingsbury St & Kinzie St,casual,1906,,,,
Damen Ave & Pierce Ave,casual,1901,,,,
LaSalle St & Illinois St,casual,1885,,,,
Ashland Ave & Division St,casual,1882,,,,
Halsted St & Roscoe St,casual,1876,,,,
Ellis Ave & 60th St,casual,1851,,,,
Broadway & Cornelia Ave,casual,1850,,,,
Sheffield Ave & Fullerton Ave,casual,1847,,,,
Sheffield Ave & Waveland Ave,casual,1827,,,,
State St & Chicago Ave,casual,1811,,,,
University Ave & 57th St,casual,1759,,,,
Lincoln Ave & Fullerton Ave,casual,1741,,,,
Adler Planetarium,casual,1713,,,,
Montrose Harbor,casual,1682,,,,
Michigan Ave & 8th St,casual,1668,,,,
Broadway & Waveland Ave,casual,1641,,,,
Pine Grove Ave & Waveland Ave,casual,1630,,,,
Dearborn St & Erie St,casual,1628,,,,
DuSable Lake Shore Dr & Belmont Ave,casual,1627,,,,
Columbus Dr & Randolph St,casual,1618,,,,
Wells St & Huron St,casual,1598,,,,
Clinton St & Washington Blvd,casual,1535,,,,
Southport Ave & Waveland Ave,casual,1529,,,,
Larrabee St & Webster Ave,casual,1513,,,,
Wells St & Evergreen Ave,casual,1486,,,,
New St & Illinois St,casual,1481,,,,
Clark St & Winnemac Ave,casual,1470,,,,
Wabash Ave & Roosevelt Rd,casual,1468,,,,
Sheffield Ave & Wrightwood Ave,casual,1465,,,,
Halsted St & Clybourn Ave,casual,1435,,,,
Fairbanks Ct & Grand Ave,casual,1433,,,,
Wilton Ave & Diversey Pkwy,casual,1430,,,,
Canal St & Adams St,casual,1419,,,,
Lakeview Ave & Fullerton Pkwy,casual,1418,,,,
DuSable Lake Shore Dr & Wellington Ave,casual,1410,,,,
McClurg Ct & Ohio St,casual,1372,,,,
Racine Ave & Belmont Ave,casual,1361,,,,
Clinton St & Jackson Blvd,casual,1352,,,,
Franklin St & Jackson Blvd,casual,1342,,,,
Orleans St & Merchandise Mart Plaza,casual,1339,,,,
Federal St & Polk St,casual,1337,,,,
Field Museum,casual,1332,,,,
Green St & Madison St,casual,1320,,,,
Ellis Ave & 55th St,casual,1315,,,,
Sheffield Ave & Wellington Ave,casual,1313,,,,
Dearborn Pkwy & Delaware Pl,casual,1307,,,,
Clinton St & Madison St,casual,1306,,,,
California Ave & Milwaukee Ave,casual,1302,,,,
Sheffield Ave & Webster Ave,casual,1301,,,,
Desplaines St & Kinzie St,casual,1299,,,,
Dearborn St & Monroe St,casual,1290,,,,
Clark St & Grace St,casual,1278,,,,
Wells St & Hubbard St,casual,1272,,,,
Clark St & Schiller St,casual,1265,,,,
Halsted St & Dickens Ave,casual,1260,,,,
Larrabee St & Kingsbury St,casual,1259,,,,
Halsted St & Wrightwood Ave,casual,1247,,,,
Sheridan Rd & Irving Park Rd,casual,1241,,,,
Clark St & Wellington Ave,casual,1239,,,,
St. Clair St & Erie St,casual,1236,,,,
Lincoln Park Conservatory,casual,1233,,,,
Broadway & Sheridan Rd,casual,1226,,,,
Clark St & Drummond Pl,casual,1193,,,,
Wabash Ave & 9th St,casual,1188,,,,
Clinton St & Lake St,casual,1186,,,,
Racine Ave & Fullerton Ave,casual,1183,,,,
Wood St & Milwaukee Ave,casual,1169,,,,
Daley Center Plaza,casual,1163,,,,
Kedzie Ave & Milwaukee Ave,casual,1161,,,,
Wabash Ave & Wacker Pl,casual,1158,,,,
Canal St & Madison St,casual,1150,,,,
Southport Ave & Roscoe St,casual,1150,,,,
Milwaukee Ave & Grand Ave,casual,1141,,,,
State St & Randolph St,casual,1118,,,,
Mies van der Rohe Way & Chestnut St,casual,1114,,,,
Cityfront Plaza Dr & Pioneer Ct,casual,1107,,,,
Broadway & Belmont Ave,casual,1094,,,,
Stockton Dr & Wrightwood Ave,casual,1081,,,,
Sheridan Rd & Montrose Ave,casual,1078,,,,
Greenview Ave & Fullerton Ave,casual,1057,,,,
Kimbark Ave & 53rd St,casual,1051,,,,
Franklin St & Chicago Ave,casual,1047,,,,
Lakefront Trail & Bryn Mawr Ave,casual,1044,,,,
Southport Ave & Wellington Ave,casual,1041,,,,
Ravenswood Ave & Lawrence Ave,casual,1037,,,,
Franklin St & Lake St,casual,1033,,,,
Sedgwick St & Webster Ave,casual,1018,,,,
Lincoln Ave & Diversey Pkwy,casual,1010,,,,
Rush St & Superior St,casual,999,,,,
Clark St & Randolph St,casual,997,,,,
State St & Kinzie St,casual,990,,,,
Clark St & North Ave,casual,989,,,,
Western Ave & Winnebago Ave,casual,988,,,,
Milwaukee Ave & Wabansia Ave,casual,988,,,,
Damen Ave & Cortland St,casual,986,,,,
