hour,end_station_name,member_casual,count_of_users
17,,casual,3040
16,,casual,2706
15,,casual,2503
18,,casual,2443
14,,casual,2221
13,,casual,1903
19,,casual,1811
12,,casual,1681
11,,casual,1452
20,,casual,1310
10,,casual,1176
8,,casual,1093
9,,casual,1070
21,,casual,1065
15,Streeter Dr & Grand Ave,casual,990
17,Streeter Dr & Grand Ave,casual,976
16,Streeter Dr & Grand Ave,casual,929
18,Streeter Dr & Grand Ave,casual,929
7,,casual,918
14,Streeter Dr & Grand Ave,casual,918
22,,casual,876
13,Streeter Dr & Grand Ave,casual,832
17,DuSable Lake Shore Dr & North Blvd,casual,747
18,DuSable Lake Shore Dr & North Blvd,casual,741
23,,casual,720
12,Streeter Dr & Grand Ave,casual,716
19,Streeter Dr & Grand Ave,casual,674
16,DuSable Lake Shore Dr & North Blvd,casual,581
11,Streeter Dr & Grand Ave,casual,555
0,,casual,541
15,DuSable Lake Shore Dr & North Blvd,casual,538
14,DuSable Lake Shore Dr & North Blvd,casual,534
12,DuSable Lake Shore Dr & North Blvd,casual,517
19,DuSable Lake Shore Dr & North Blvd,casual,512
20,Streeter Dr & Grand Ave,casual,482
13,DuSable Lake Shore Dr & North Blvd,casual,471
18,Wells St & Concord Ln,casual,417
17,DuSable Lake Shore Dr & Monroe St,casual,415
18,Sheffield Ave & Waveland Ave,casual,415
13,Shedd Aquarium,casual,411
16,DuSable Lake Shore Dr & Monroe St,casual,409
6,,casual,405
15,DuSable Lake Shore Dr & Monroe St,casual,403
15,Shedd Aquarium,casual,400
14,Shedd Aquarium,casual,384
18,Clark St & Wrightwood Ave,casual,383
18,DuSable Lake Shore Dr & Monroe St,casual,382
14,DuSable Lake Shore Dr & Monroe St,casual,380
21,Streeter Dr & Grand Ave,casual,375
18,Ashland Ave & Division St,casual,372
1,,casual,363
11,DuSable Lake Shore Dr & North Blvd,casual,362
16,Millennium Park,casual,357
22,Streeter Dr & Grand Ave,casual,356
10,Streeter Dr & Grand Ave,casual,350
17,DuSable Lake Shore Dr & Diversey Pkwy,casual,346
15,DuSable Lake Shore Dr & Diversey Pkwy,casual,343
16,Shedd Aquarium,casual,343
17,Ashland Ave & Division St,casual,342
18,DuSable Lake Shore Dr & Diversey Pkwy,casual,341
15,Millennium Park,casual,339
17,Wells St & Concord Ln,casual,339
13,DuSable Lake Shore Dr & Monroe St,casual,332
16,DuSable Lake Shore Dr & Diversey Pkwy,casual,325
18,Shedd Aquarium,casual,323
17,Clark St & Wrightwood Ave,casual,320
19,Clark St & Wrightwood Ave,casual,315
17,Shedd Aquarium,casual,314
18,Sheffield Ave & Wrightwood Ave,casual,313
16,Canal St & Madison St,casual,311
14,Millennium Park,casual,309
12,DuSable Lake Shore Dr & Monroe St,casual,309
12,Shedd Aquarium,casual,306
2,,casual,305
17,Sheffield Ave & Waveland Ave,casual,305
17,Millennium Park,casual,297
17,Sheffield Ave & Fullerton Ave,casual,295
16,Wells St & Concord Ln,casual,294
15,Clark St & Wrightwood Ave,casual,286
13,Millennium Park,casual,285
16,Clark St & Wrightwood Ave,casual,281
17,Broadway & Cornelia Ave,casual,280
17,Clark St & Schiller St,casual,280
18,Clark St & Schiller St,casual,279
14,DuSable Lake Shore Dr & Diversey Pkwy,casual,276
16,Ashland Ave & Division St,casual,275
18,Sheffield Ave & Fullerton Ave,casual,273
17,Sheffield Ave & Wrightwood Ave,casual,273
16,Sheffield Ave & Fullerton Ave,casual,271
17,Michigan Ave & Lake St,casual,270
17,Halsted St & Clybourn Ave,casual,270
19,Ashland Ave & Division St,casual,269
18,LaSalle St & Illinois St,casual,267
19,DuSable Lake Shore Dr & Monroe St,casual,264
11,Shedd Aquarium,casual,263
15,Wells St & Concord Ln,casual,263
23,Streeter Dr & Grand Ave,casual,263
16,Michigan Ave & Lake St,casual,262
12,Sheffield Ave & Waveland Ave,casual,262
15,Lincoln Park Conservatory,casual,262
15,Clark St & Schiller St,casual,261
13,Sheffield Ave & Waveland Ave,casual,260
9,Streeter Dr & Grand Ave,casual,259
18,Halsted St & Clybourn Ave,casual,256
17,Canal St & Madison St,casual,256
19,Wells St & Concord Ln,casual,255
14,Clark St & Wrightwood Ave,casual,254
16,LaSalle St & Illinois St,casual,252
16,Broadway & Cornelia Ave,casual,251
15,Theater on the Lake,casual,251
15,Ashland Ave & Division St,casual,250
17,LaSalle St & Illinois St,casual,249
19,DuSable Lake Shore Dr & Diversey Pkwy,casual,249
16,Clark St & Schiller St,casual,248
11,DuSable Lake Shore Dr & Monroe St,casual,248
10,DuSable Lake Shore Dr & North Blvd,casual,247
18,Clark St & Winnemac Ave,casual,246
14,Wells St & Concord Ln,casual,246
19,Sheffield Ave & Waveland Ave,casual,244
14,Lincoln Park Conservatory,casual,244
13,Michigan Ave & Lake St,casual,242
17,Clark St & Winnemac Ave,casual,241
16,Theater on the Lake,casual,240
13,Wells St & Concord Ln,casual,240
16,Mies van der Rohe Way & Chestnut St,casual,240
19,Shedd Aquarium,casual,240
18,Broadway & Cornelia Ave,casual,238
16,Sheffield Ave & Waveland Ave,casual,238
13,Ashland Ave & Division St,casual,238
16,Kimbark Ave & 53rd St,casual,236
17,Clinton St & Lake St,casual,235
17,Green St & Madison St,casual,235
15,Michigan Ave & Lake St,casual,234
12,Clark St & Wrightwood Ave,casual,234
17,Theater on the Lake,casual,233
16,Sheffield Ave & Wrightwood Ave,casual,231
5,,casual,230
15,Sheffield Ave & Waveland Ave,casual,230
16,Clark St & Elm St,casual,229
13,DuSable Lake Shore Dr & Diversey Pkwy,casual,229
20,DuSable Lake Shore Dr & North Blvd,casual,228
12,DuSable Lake Shore Dr & Diversey Pkwy,casual,227
18,Clark St & Lincoln Ave,casual,227
13,Clark St & Wrightwood Ave,casual,225
