month,end_station_name,member_casual,count_of_users
3,,casual,11075
1,,casual,7461
2,,casual,6987
7,Streeter Dr & Grand Ave,casual,5165
5,,casual,4683
7,DuSable Lake Shore Dr & Diversey Pkwy,casual,2819
6,DuSable Lake Shore Dr & North Blvd,casual,2720
5,Streeter Dr & Grand Ave,casual,2521
6,DuSable Lake Shore Dr & Monroe St,casual,2376
6,Wells St & Concord Ln,casual,2175
5,DuSable Lake Shore Dr & North Blvd,casual,2055
6,Shedd Aquarium,casual,1807
6,Sheffield Ave & Waveland Ave,casual,1593
7,Federal St & Polk St,casual,1560
6,Theater on the Lake,casual,1530
7,Clark St & Lincoln Ave,casual,1465
6,Clark St & Schiller St,casual,1460
6,Canal St & Madison St,casual,1441
6,Millennium Park,casual,1419
6,Clark St & Wrightwood Ave,casual,1391
4,Streeter Dr & Grand Ave,casual,1386
7,Shedd Aquarium,casual,1347
4,DuSable Lake Shore Dr & Monroe St,casual,1334
6,Ashland Ave & Division St,casual,1307
7,Halsted St & Clybourn Ave,casual,1296
7,Clark St & Wrightwood Ave,casual,1292
4,DuSable Lake Shore Dr & North Blvd,casual,1287
7,LaSalle St & Illinois St,casual,1278
6,Michigan Ave & Lake St,casual,1247
5,Sheffield Ave & Waveland Ave,casual,1218
5,Indiana Ave & Roosevelt Rd,casual,1215
7,Clark St & Schiller St,casual,1203
7,Wells St & Hubbard St,casual,1180
7,Sheffield Ave & Fullerton Ave,casual,1164
6,Sheffield Ave & Wrightwood Ave,casual,1162
5,Ellis Ave & 60th St,casual,1160
6,Broadway & Cornelia Ave,casual,1149
7,Green St & Madison St,casual,1138
7,Ashland Ave & Division St,casual,1100
6,Clinton St & Madison St,casual,1042
6,Clarendon Ave & Gordon Ter,casual,1028
7,Sheffield Ave & Wrightwood Ave,casual,1020
7,Kingsbury St & Kinzie St,casual,1014
3,Streeter Dr & Grand Ave,casual,999
6,Southport Ave & Belmont Ave,casual,979
6,Sheffield Ave & Fullerton Ave,casual,961
5,Canal St & Adams St,casual,956
7,Wilton Ave & Belmont Ave,casual,950
6,Rush St & Superior St,casual,949
6,Clark St & Winnemac Ave,casual,938
6,State St & Kinzie St,casual,929
6,Wabash Ave & Wacker Pl,casual,925
5,Broadway & Waveland Ave,casual,913
6,Pine Grove Ave & Waveland Ave,casual,881
5,Desplaines St & Kinzie St,casual,873
5,Michigan Ave & Lake St,casual,870
7,Marine Dr & Ainslie St,casual,870
5,Lincoln Park Conservatory,casual,863
6,Clinton St & Lake St,casual,847
7,Peoria St & Jackson Blvd,casual,837
7,Larrabee St & Webster Ave,casual,833
7,Fairbanks Ct & Grand Ave,casual,833
