weeknum,end_station_name,member_casual,count_of_users
12,,casual,2650
9,,casual,2525
2,,casual,2309
13,,casual,2279
10,,casual,2165
11,,casual,2092
7,,casual,1904
1,,casual,1880
6,,casual,1776
8,,casual,1767
3,,casual,1710
30,Streeter Dr & Grand Ave,casual,1454
27,Streeter Dr & Grand Ave,casual,1242
29,Streeter Dr & Grand Ave,casual,1208
18,,casual,1145
20,,casual,1144
5,,casual,1079
21,,casual,1079
4,,casual,1057
28,Streeter Dr & Grand Ave,casual,948
28,DuSable Lake Shore Dr & Diversey Pkwy,casual,882
29,DuSable Lake Shore Dr & Diversey Pkwy,casual,822
22,DuSable Lake Shore Dr & North Blvd,casual,806
19,,casual,793
15,DuSable Lake Shore Dr & North Blvd,casual,745
25,DuSable Lake Shore Dr & North Blvd,casual,741
25,DuSable Lake Shore Dr & Monroe St,casual,694
21,Streeter Dr & Grand Ave,casual,688
27,DuSable Lake Shore Dr & Diversey Pkwy,casual,675
15,Streeter Dr & Grand Ave,casual,641
21,DuSable Lake Shore Dr & North Blvd,casual,640
24,DuSable Lake Shore Dr & North Blvd,casual,596
23,DuSable Lake Shore Dr & North Blvd,casual,584
20,Streeter Dr & Grand Ave,casual,575
25,Wells St & Concord Ln,casual,554
23,DuSable Lake Shore Dr & Monroe St,casual,544
22,,casual,522
15,DuSable Lake Shore Dr & Monroe St,casual,516
18,Streeter Dr & Grand Ave,casual,515
23,Wells St & Concord Ln,casual,512
25,Theater on the Lake,casual,502
25,Millennium Park,casual,502
20,DuSable Lake Shore Dr & North Blvd,casual,488
28,Federal St & Polk St,casual,481
24,DuSable Lake Shore Dr & Monroe St,casual,471
25,Canal St & Madison St,casual,469
25,Sheffield Ave & Waveland Ave,casual,468
24,Wells St & Concord Ln,casual,467
25,Shedd Aquarium,casual,465
29,Federal St & Polk St,casual,437
22,Sheffield Ave & Waveland Ave,casual,433
21,Sheffield Ave & Waveland Ave,casual,430
27,Federal St & Polk St,casual,421
30,Halsted St & Clybourn Ave,casual,412
22,DuSable Lake Shore Dr & Monroe St,casual,400
19,Streeter Dr & Grand Ave,casual,397
25,Clark St & Schiller St,casual,392
26,Shedd Aquarium,casual,391
27,Sheffield Ave & Fullerton Ave,casual,387
29,Clark St & Schiller St,casual,387
29,Clark St & Lincoln Ave,casual,386
25,Clark St & Wrightwood Ave,casual,385
21,Indiana Ave & Roosevelt Rd,casual,383
23,Theater on the Lake,casual,379
24,Shedd Aquarium,casual,378
30,Shedd Aquarium,casual,378
26,DuSable Lake Shore Dr & North Blvd,casual,370
14,Streeter Dr & Grand Ave,casual,369
22,Clark St & Schiller St,casual,369
22,Wells St & Concord Ln,casual,368
27,Clark St & Lincoln Ave,casual,368
25,Ashland Ave & Division St,casual,366
18,DuSable Lake Shore Dr & North Blvd,casual,359
23,Millennium Park,casual,357
15,DuSable Lake Shore Dr & Diversey Pkwy,casual,349
14,DuSable Lake Shore Dr & Monroe St,casual,348
23,Clark St & Wrightwood Ave,casual,348
22,Streeter Dr & Grand Ave,casual,346
25,Michigan Ave & Lake St,casual,344
29,Halsted St & Clybourn Ave,casual,341
21,Canal St & Adams St,casual,337
29,Clark St & Wrightwood Ave,casual,337
22,Shedd Aquarium,casual,335
25,Sheffield Ave & Wrightwood Ave,casual,334
52,,casual,330
23,Ashland Ave & Division St,casual,326
27,Clark St & Wrightwood Ave,casual,320
30,Clark St & Lincoln Ave,casual,316
29,Shedd Aquarium,casual,315
25,Broadway & Cornelia Ave,casual,314
21,Ellis Ave & 60th St,casual,313
27,Clark St & Schiller St,casual,312
30,Clark St & Wrightwood Ave,casual,309
24,Sheffield Ave & Waveland Ave,casual,302
27,Shedd Aquarium,casual,301
29,LaSalle St & Illinois St,casual,299
22,Ashland Ave & Division St,casual,297
28,Shedd Aquarium,casual,297
15,Wells St & Concord Ln,casual,296
23,Sheffield Ave & Waveland Ave,casual,295
24,Clark St & Schiller St,casual,293
22,Michigan Ave & Lake St,casual,292
25,Rush St & Superior St,casual,292
27,LaSalle St & Illinois St,casual,292
30,LaSalle St & Illinois St,casual,292
22,Clark St & Wrightwood Ave,casual,291
21,Broadway & Waveland Ave,casual,289
27,Ashland Ave & Division St,casual,289
20,Ellis Ave & 60th St,casual,288
28,Clark St & Lincoln Ave,casual,286
22,Broadway & Cornelia Ave,casual,284
28,LaSalle St & Illinois St,casual,284
24,Broadway & Cornelia Ave,casual,283
29,Wells St & Hubbard St,casual,282
30,Sheffield Ave & Wrightwood Ave,casual,280
30,Wells St & Hubbard St,casual,280
15,Michigan Ave & 8th St,casual,279
28,Halsted St & Clybourn Ave,casual,279
24,Michigan Ave & Lake St,casual,278
25,Clinton St & Madison St,casual,278
23,Shedd Aquarium,casual,276
27,Wells St & Hubbard St,casual,276
26,Wells St & Concord Ln,casual,274
29,Sheffield Ave & Wrightwood Ave,casual,274
24,Canal St & Madison St,casual,273
25,Pine Grove Ave & Waveland Ave,casual,273
24,Sheffield Ave & Wrightwood Ave,casual,272
27,Green St & Madison St,casual,272
30,Green St & Madison St,casual,270
25,State St & Kinzie St,casual,269
22,Canal St & Madison St,casual,268
29,Green St & Madison St,casual,268
26,DuSable Lake Shore Dr & Monroe St,casual,267
20,Desplaines St & Kinzie St,casual,265
25,Clarendon Ave & Gordon Ter,casual,264
24,Clark St & Wrightwood Ave,casual,263
23,Clinton St & Madison St,casual,262
27,Sheffield Ave & Wrightwood Ave,casual,262
23,Broadway & Cornelia Ave,casual,261
29,Ashland Ave & Division St,casual,261
22,Lincoln Park Conservatory,casual,260
28,Wells St & Hubbard St,casual,259
24,Clarendon Ave & Gordon Ter,casual,258
23,Canal St & Madison St,casual,254
15,Damen Ave & Pierce Ave,casual,253
23,Clarendon Ave & Gordon Ter,casual,253
24,Theater on the Lake,casual,252
28,Green St & Madison St,casual,252
25,Clark St & Winnemac Ave,casual,251
28,Marine Dr & Ainslie St,casual,250
25,Wabash Ave & Wacker Pl,casual,249
30,Kingsbury St & Kinzie St,casual,249
27,Mies van der Rohe Way & Chestnut St,casual,248
27,Kingsbury St & Kinzie St,casual,248
29,Kingsbury St & Kinzie St,casual,248
29,Marine Dr & Ainslie St,casual,248
18,Indiana Ave & Roosevelt Rd,casual,246
30,DuSable Lake Shore Dr & Diversey Pkwy,casual,246
23,Michigan Ave & Lake St,casual,244
26,Canal St & Madison St,casual,242
23,Sheffield Ave & Fullerton Ave,casual,241
25,Southport Ave & Belmont Ave,casual,241
