hour,start_station_name,member_casual,count_of_users
17,,casual,2395
16,,casual,2312
15,,casual,2222
14,,casual,2002
18,,casual,1867
13,,casual,1675
12,,casual,1410
19,,casual,1384
11,,casual,1260
20,,casual,1048
10,,casual,1002
21,,casual,915
8,,casual,905
9,,casual,847
22,,casual,768
7,,casual,764
15,Streeter Dr & Grand Ave,casual,624
23,,casual,595
14,Streeter Dr & Grand Ave,casual,592
16,Streeter Dr & Grand Ave,casual,586
13,Streeter Dr & Grand Ave,casual,566
17,Streeter Dr & Grand Ave,casual,546
18,Streeter Dr & Grand Ave,casual,463
12,Streeter Dr & Grand Ave,casual,453
15,DuSable Lake Shore Dr & Monroe St,casual,442
6,,casual,436
15,Shedd Aquarium,casual,435
14,DuSable Lake Shore Dr & Monroe St,casual,435
14,Shedd Aquarium,casual,429
0,,casual,408
16,Shedd Aquarium,casual,397
13,DuSable Lake Shore Dr & Monroe St,casual,376
13,Shedd Aquarium,casual,373
18,DuSable Lake Shore Dr & North Blvd,casual,367
16,DuSable Lake Shore Dr & North Blvd,casual,366
12,DuSable Lake Shore Dr & Monroe St,casual,365
17,DuSable Lake Shore Dr & North Blvd,casual,362
15,DuSable Lake Shore Dr & North Blvd,casual,335
12,Shedd Aquarium,casual,324
15,Millennium Park,casual,322
11,Streeter Dr & Grand Ave,casual,313
17,DuSable Lake Shore Dr & Monroe St,casual,313
19,Streeter Dr & Grand Ave,casual,309
19,DuSable Lake Shore Dr & North Blvd,casual,300
18,DuSable Lake Shore Dr & Monroe St,casual,299
16,DuSable Lake Shore Dr & Monroe St,casual,299
15,Michigan Ave & Oak St,casual,296
1,,casual,282
13,Millennium Park,casual,281
16,Michigan Ave & Oak St,casual,281
17,Millennium Park,casual,280
14,DuSable Lake Shore Dr & North Blvd,casual,275
17,Clinton St & Washington Blvd,casual,273
13,DuSable Lake Shore Dr & North Blvd,casual,271
15,Theater on the Lake,casual,269
17,Michigan Ave & Oak St,casual,265
12,DuSable Lake Shore Dr & North Blvd,casual,257
14,Michigan Ave & Oak St,casual,255
15,Dusable Harbor,casual,251
13,Michigan Ave & Oak St,casual,251
17,Ashland Ave & Division St,casual,250
11,DuSable Lake Shore Dr & Monroe St,casual,246
14,Theater on the Lake,casual,244
16,Millennium Park,casual,242
15,Adler Planetarium,casual,240
16,Theater on the Lake,casual,235
16,Michigan Ave & Lake St,casual,234
16,LaSalle St & Illinois St,casual,233
17,Clark St & Armitage Ave,casual,233
20,Streeter Dr & Grand Ave,casual,233
17,Indiana Ave & Roosevelt Rd,casual,233
16,Dusable Harbor,casual,232
14,Millennium Park,casual,232
18,Michigan Ave & Oak St,casual,232
18,Broadway & Barry Ave,casual,231
16,Indiana Ave & Roosevelt Rd,casual,231
17,DuSable Lake Shore Dr & Diversey Pkwy,casual,231
12,Michigan Ave & Oak St,casual,230
17,Wells St & Elm St,casual,230
16,Larrabee St & Kingsbury St,casual,229
18,Clark St & Elm St,casual,229
17,LaSalle St & Illinois St,casual,229
17,Dusable Harbor,casual,229
14,Dusable Harbor,casual,228
2,,casual,227
17,Theater on the Lake,casual,227
16,Field Museum,casual,223
18,Millennium Park,casual,223
17,Damen Ave & Pierce Ave,casual,223
17,Shedd Aquarium,casual,222
13,Dusable Harbor,casual,222
18,Clark St & Armitage Ave,casual,222
16,Clark St & Armitage Ave,casual,215
17,Clinton St & Jackson Blvd,casual,215
17,Kingsbury St & Kinzie St,casual,214
14,University Ave & 57th St,casual,214
16,Clinton St & Jackson Blvd,casual,214
17,Clark St & Elm St,casual,210
17,Wilton Ave & Belmont Ave,casual,210
12,Millennium Park,casual,208
19,DuSable Lake Shore Dr & Monroe St,casual,206
18,Clark St & Wrightwood Ave,casual,201
15,Clark St & Armitage Ave,casual,201
18,DuSable Lake Shore Dr & Diversey Pkwy,casual,201
17,Wells St & Concord Ln,casual,200
20,DuSable Lake Shore Dr & North Blvd,casual,199
16,Kingsbury St & Kinzie St,casual,198
16,University Ave & 57th St,casual,198
18,Clark St & Newport St,casual,197
18,Halsted St & Roscoe St,casual,197
18,Theater on the Lake,casual,197
17,Clinton St & Madison St,casual,195
17,Sheffield Ave & Fullerton Ave,casual,195
17,Canal St & Adams St,casual,195
12,Dusable Harbor,casual,195
16,Clinton St & Washington Blvd,casual,195
13,Michigan Ave & Lake St,casual,194
18,Wells St & Concord Ln,casual,194
15,Montrose Harbor,casual,193
14,Adler Planetarium,casual,192
16,Adler Planetarium,casual,192
11,DuSable Lake Shore Dr & North Blvd,casual,191
15,University Ave & 57th St,casual,191
5,,casual,190
11,Michigan Ave & Oak St,casual,190
17,Michigan Ave & Washington St,casual,190
17,Broadway & Cornelia Ave,casual,190
11,Shedd Aquarium,casual,189
17,Clark St & Newport St,casual,189
18,Dusable Harbor,casual,189
16,Clark St & Wrightwood Ave,casual,187
18,Damen Ave & Pierce Ave,casual,187
17,Broadway & Barry Ave,casual,186
11,Millennium Park,casual,186
18,DuSable Lake Shore Dr & Belmont Ave,casual,186
16,Michigan Ave & Washington St,casual,185
18,Wilton Ave & Belmont Ave,casual,184
17,Clark St & Wrightwood Ave,casual,183
16,Orleans St & Merchandise Mart Plaza,casual,183
