month,start_station_name,member_casual,count_of_users
3,,casual,9294
2,,casual,5762
1,,casual,5175
5,,casual,4612
7,Streeter Dr & Grand Ave,casual,1705
5,Streeter Dr & Grand Ave,casual,1181
7,DuSable Lake Shore Dr & Monroe St,casual,1053
7,DuSable Lake Shore Dr & North Blvd,casual,1032
4,DuSable Lake Shore Dr & Monroe St,casual,928
7,Michigan Ave & Oak St,casual,912
6,Streeter Dr & Grand Ave,casual,858
7,DuSable Lake Shore Dr & Diversey Pkwy,casual,842
6,Michigan Ave & Oak St,casual,822
3,Streeter Dr & Grand Ave,casual,802
4,DuSable Lake Shore Dr & North Blvd,casual,762
6,DuSable Lake Shore Dr & North Blvd,casual,744
4,Shedd Aquarium,casual,718
5,DuSable Lake Shore Dr & North Blvd,casual,712
3,DuSable Lake Shore Dr & Monroe St,casual,698
5,Millennium Park,casual,672
3,Shedd Aquarium,casual,656
7,Theater on the Lake,casual,655
7,Dusable Harbor,casual,655
5,DuSable Lake Shore Dr & Monroe St,casual,642
7,Clark St & Lincoln Ave,casual,635
6,Theater on the Lake,casual,581
7,Shedd Aquarium,casual,576
7,Montrose Harbor,casual,576
5,Theater on the Lake,casual,575
6,Sheffield Ave & Waveland Ave,casual,570
6,Clark St & Armitage Ave,casual,564
6,Millennium Park,casual,543
6,Shedd Aquarium,casual,527
4,Michigan Ave & 8th St,casual,524
7,Millennium Park,casual,513
3,Millennium Park,casual,507
4,Streeter Dr & Grand Ave,casual,507
4,Dusable Harbor,casual,501
6,Broadway & Cornelia Ave,casual,499
7,DuSable Lake Shore Dr & Belmont Ave,casual,498
6,Michigan Ave & Lake St,casual,491
6,Dusable Harbor,casual,488
5,Indiana Ave & Roosevelt Rd,casual,486
7,Lakeview Ave & Fullerton Pkwy,casual,481
7,Indiana Ave & Roosevelt Rd,casual,478
7,Clark St & Armitage Ave,casual,463
6,Montrose Harbor,casual,462
6,Halsted St & Roscoe St,casual,462
6,Indiana Ave & Roosevelt Rd,casual,462
4,Michigan Ave & Lake St,casual,460
5,Michigan Ave & Oak St,casual,452
6,Broadway & Barry Ave,casual,448
7,Clark St & Elm St,casual,448
6,Clark St & Lincoln Ave,casual,447
5,Michigan Ave & Lake St,casual,446
4,Clark St & Armitage Ave,casual,441
3,Wells St & Concord Ln,casual,440
7,Wilton Ave & Belmont Ave,casual,432
7,DuSable Lake Shore Dr & Wellington Ave,casual,428
4,Adler Planetarium,casual,426
4,Ellis Ave & 60th St,casual,417
7,Clark St & Schiller St,casual,417
7,Fairbanks Ct & Grand Ave,casual,415
4,Clark St & Elm St,casual,413
5,Wabash Ave & Grand Ave,casual,412
7,Broadway & Barry Ave,casual,408
5,Wilton Ave & Belmont Ave,casual,407
6,Southport Ave & Waveland Ave,casual,406
7,Larrabee St & Webster Ave,casual,406
6,Clark St & Wrightwood Ave,casual,405
6,Sheffield Ave & Fullerton Ave,casual,403
6,Lincoln Park Conservatory,casual,400
7,Clark St & Newport St,casual,399
7,Lincoln Ave & Fullerton Ave,casual,398
7,Wells St & Elm St,casual,395
6,DuSable Lake Shore Dr & Belmont Ave,casual,388
6,Ashland Ave & Division St,casual,385
4,Damen Ave & Pierce Ave,casual,383
6,Lincoln Ave & Fullerton Ave,casual,382
7,Broadway & Waveland Ave,casual,380
7,Wells St & Concord Ln,casual,380
4,LaSalle St & Illinois St,casual,379
5,DuSable Lake Shore Dr & Wellington Ave,casual,375
7,Wilton Ave & Diversey Pkwy,casual,374
7,Broadway & Cornelia Ave,casual,372
6,Clark St & Elm St,casual,371
5,Clark St & Armitage Ave,casual,370
7,Lakefront Trail & Wilson Ave,casual,370
7,Ashland Ave & Division St,casual,366
6,State St & Chicago Ave,casual,365
6,Michigan Ave & Washington St,casual,365
6,Sheffield Ave & Wrightwood Ave,casual,365
3,Kingsbury St & Kinzie St,casual,364
6,Wabash Ave & Grand Ave,casual,364
6,Clark St & Newport St,casual,363
7,Adler Planetarium,casual,362
7,McClurg Ct & Ohio St,casual,362
6,DuSable Lake Shore Dr & Diversey Pkwy,casual,361
5,Columbus Dr & Randolph St,casual,360
5,Wells St & Concord Ln,casual,359
4,Columbus Dr & Randolph St,casual,357
5,University Ave & 57th St,casual,357
7,Clark St & Wrightwood Ave,casual,356
4,Wells St & Elm St,casual,355
4,Kingsbury St & Kinzie St,casual,353
7,Dearborn St & Erie St,casual,352
7,New St & Illinois St,casual,349
4,DuSable Lake Shore Dr & Diversey Pkwy,casual,348
4,,casual,347
7,Wabash Ave & Grand Ave,casual,347
7,Southport Ave & Roscoe St,casual,346
5,DuSable Lake Shore Dr & Diversey Pkwy,casual,345
5,Clark St & Wrightwood Ave,casual,345
7,Halsted St & Roscoe St,casual,345
3,LaSalle St & Illinois St,casual,344
6,Adler Planetarium,casual,344
7,Sheffield Ave & Wrightwood Ave,casual,342
5,Broadway & Cornelia Ave,casual,340
6,Sheridan Rd & Irving Park Rd,casual,340
6,McClurg Ct & Ohio St,casual,340
3,Wells St & Elm St,casual,339
6,Broadway & Waveland Ave,casual,338
6,Pine Grove Ave & Waveland Ave,casual,337
3,Field Museum,casual,335
5,Sheffield Ave & Waveland Ave,casual,335
7,Federal St & Polk St,casual,335
4,Halsted St & Roscoe St,casual,333
7,Lakefront Trail & Bryn Mawr Ave,casual,333
5,Michigan Ave & Washington St,casual,332
5,DuSable Lake Shore Dr & Belmont Ave,casual,328
5,Clark St & Lincoln Ave,casual,328
6,Field Museum,casual,328
6,Wilton Ave & Belmont Ave,casual,328
7,Michigan Ave & Washington St,casual,328
7,Dearborn Pkwy & Delaware Pl,casual,327
3,University Ave & 57th St,casual,326
7,Damen Ave & Pierce Ave,casual,326
3,Wells St & Huron St,casual,325
6,Mies van der Rohe Way & Chestnut St,casual,325
