seasons,start_station_name,member_casual,count_of_users
2023SpringRide,,casual,20231
2023SummerRide,,casual,4963
2023SummerRide,Streeter Dr & Grand Ave,casual,2546
2023SummerRide,DuSable Lake Shore Dr & North Blvd,casual,2218
2023SummerRide,DuSable Lake Shore Dr & Monroe St,casual,1884
2023FallRide,Streeter Dr & Grand Ave,casual,1705
2023SummerRide,Michigan Ave & Oak St,casual,1498
2023SummerRide,Shedd Aquarium,casual,1476
2023SummerRide,Millennium Park,casual,1425
2023SummerRide,Michigan Ave & Lake St,casual,1397
2023SummerRide,Clark St & Armitage Ave,casual,1375
2023SpringRide,Streeter Dr & Grand Ave,casual,1345
2023SummerRide,Theater on the Lake,casual,1308
2023SummerRide,Dusable Harbor,casual,1255
2023SummerRide,Sheffield Ave & Waveland Ave,casual,1114
2023SummerRide,Clark St & Elm St,casual,1075
2023SummerRide,Clark St & Wrightwood Ave,casual,1068
2023SummerRide,Wabash Ave & Grand Ave,casual,1067
2023SummerRide,Indiana Ave & Roosevelt Rd,casual,1065
2023SummerRide,DuSable Lake Shore Dr & Diversey Pkwy,casual,1054
2023FallRide,DuSable Lake Shore Dr & Monroe St,casual,1053
2023FallRide,DuSable Lake Shore Dr & North Blvd,casual,1032
2023SummerRide,Halsted St & Roscoe St,casual,1027
2023SpringRide,Shedd Aquarium,casual,1019
2023SummerRide,Broadway & Cornelia Ave,casual,992
2023SummerRide,Adler Planetarium,casual,985
2023SummerRide,Damen Ave & Pierce Ave,casual,983
2023SpringRide,DuSable Lake Shore Dr & Monroe St,casual,978
2023SummerRide,Michigan Ave & 8th St,casual,976
2023SpringRide,Millennium Park,casual,973
2023SummerRide,Columbus Dr & Randolph St,casual,956
2023SummerRide,Clark St & Lincoln Ave,casual,952
2023SummerRide,Lincoln Ave & Fullerton Ave,casual,949
2023SummerRide,Michigan Ave & Washington St,casual,947
2023SummerRide,Wells St & Concord Ln,casual,946
2023SummerRide,Ellis Ave & 60th St,casual,938
2023SummerRide,Montrose Harbor,casual,933
2023SpringRide,University Ave & 57th St,casual,929
2023FallRide,Michigan Ave & Oak St,casual,912
2023SummerRide,Ashland Ave & Division St,casual,908
2023SummerRide,Pine Grove Ave & Waveland Ave,casual,898
2023SummerRide,Wells St & Elm St,casual,889
2023SummerRide,Wilton Ave & Belmont Ave,casual,886
2023SummerRide,State St & Chicago Ave,casual,879
2023SummerRide,Sheffield Ave & Fullerton Ave,casual,872
2023SummerRide,Clark St & Newport St,casual,869
2023SummerRide,Broadway & Barry Ave,casual,862
2023FallRide,DuSable Lake Shore Dr & Diversey Pkwy,casual,842
2023SummerRide,Sheffield Ave & Wrightwood Ave,casual,840
2023SpringRide,Ellis Ave & 60th St,casual,833
2023SummerRide,DuSable Lake Shore Dr & Belmont Ave,casual,830
2023SummerRide,LaSalle St & Illinois St,casual,829
2023SummerRide,Kingsbury St & Kinzie St,casual,821
2023SummerRide,DuSable Lake Shore Dr & Wellington Ave,casual,807
2023SummerRide,Dearborn St & Erie St,casual,804
2023SpringRide,Kingsbury St & Kinzie St,casual,800
2023SpringRide,Wells St & Concord Ln,casual,798
2023SummerRide,Lincoln Park Conservatory,casual,797
2023SpringRide,LaSalle St & Illinois St,casual,774
2023SummerRide,Southport Ave & Waveland Ave,casual,774
2023SummerRide,Halsted St & Clybourn Ave,casual,764
2023SpringRide,Broadway & Barry Ave,casual,762
2023SummerRide,Clark St & Grace St,casual,759
2023SpringRide,Clark St & Elm St,casual,746
2023SummerRide,Halsted St & Dickens Ave,casual,746
2023SummerRide,University Ave & 57th St,casual,741
2023SummerRide,Clark St & Winnemac Ave,casual,733
