weeknum,start_station_name,member_casual,count_of_users
9,,casual,2175
12,,casual,2165
13,,casual,1923
10,,casual,1855
11,,casual,1756
2,,casual,1608
7,,casual,1529
6,,casual,1510
8,,casual,1443
1,,casual,1349
3,,casual,1161
21,,casual,1141
20,,casual,1075
18,,casual,1042
5,,casual,839
19,,casual,783
4,,casual,734
29,Streeter Dr & Grand Ave,casual,588
22,,casual,571
15,DuSable Lake Shore Dr & North Blvd,casual,443
27,Streeter Dr & Grand Ave,casual,404
21,Streeter Dr & Grand Ave,casual,380
27,DuSable Lake Shore Dr & Monroe St,casual,357
15,DuSable Lake Shore Dr & Monroe St,casual,319
22,Streeter Dr & Grand Ave,casual,316
20,Streeter Dr & Grand Ave,casual,282
30,Streeter Dr & Grand Ave,casual,280
29,DuSable Lake Shore Dr & North Blvd,casual,278
14,DuSable Lake Shore Dr & Monroe St,casual,271
27,Michigan Ave & Oak St,casual,268
28,Streeter Dr & Grand Ave,casual,256
28,DuSable Lake Shore Dr & North Blvd,casual,254
15,Streeter Dr & Grand Ave,casual,253
25,Michigan Ave & Oak St,casual,253
27,DuSable Lake Shore Dr & Diversey Pkwy,casual,252
22,DuSable Lake Shore Dr & North Blvd,casual,249
27,DuSable Lake Shore Dr & North Blvd,casual,247
15,Shedd Aquarium,casual,239
25,DuSable Lake Shore Dr & North Blvd,casual,239
26,Streeter Dr & Grand Ave,casual,237
22,Theater on the Lake,casual,233
25,Streeter Dr & Grand Ave,casual,232
27,Dusable Harbor,casual,223
30,DuSable Lake Shore Dr & Diversey Pkwy,casual,223
28,Michigan Ave & Oak St,casual,221
15,Michigan Ave & 8th St,casual,217
21,Millennium Park,casual,215
18,Streeter Dr & Grand Ave,casual,212
30,DuSable Lake Shore Dr & North Blvd,casual,210
15,Clark St & Armitage Ave,casual,209
22,Millennium Park,casual,206
9,Streeter Dr & Grand Ave,casual,205
52,,casual,205
29,DuSable Lake Shore Dr & Monroe St,casual,204
29,Michigan Ave & Oak St,casual,203
15,DuSable Lake Shore Dr & Diversey Pkwy,casual,201
22,Michigan Ave & Oak St,casual,201
13,Shedd Aquarium,casual,198
23,Michigan Ave & Oak St,casual,196
25,Theater on the Lake,casual,193
25,Sheffield Ave & Waveland Ave,casual,187
20,DuSable Lake Shore Dr & Monroe St,casual,184
28,DuSable Lake Shore Dr & Monroe St,casual,184
22,Indiana Ave & Roosevelt Rd,casual,182
12,Shedd Aquarium,casual,180
30,DuSable Lake Shore Dr & Monroe St,casual,180
28,DuSable Lake Shore Dr & Diversey Pkwy,casual,179
29,Theater on the Lake,casual,179
20,DuSable Lake Shore Dr & North Blvd,casual,178
21,Theater on the Lake,casual,178
21,DuSable Lake Shore Dr & North Blvd,casual,178
15,Michigan Ave & Lake St,casual,177
15,Dusable Harbor,casual,177
11,DuSable Lake Shore Dr & Monroe St,casual,176
16,DuSable Lake Shore Dr & Monroe St,casual,176
24,Streeter Dr & Grand Ave,casual,176
13,DuSable Lake Shore Dr & Monroe St,casual,175
12,DuSable Lake Shore Dr & Monroe St,casual,174
15,Clark St & Elm St,casual,174
15,Columbus Dr & Randolph St,casual,174
30,Michigan Ave & Oak St,casual,174
22,Clark St & Armitage Ave,casual,172
28,Montrose Harbor,casual,172
30,Dusable Harbor,casual,172
11,Streeter Dr & Grand Ave,casual,171
13,Streeter Dr & Grand Ave,casual,169
23,DuSable Lake Shore Dr & North Blvd,casual,169
22,Sheffield Ave & Waveland Ave,casual,168
24,Michigan Ave & Oak St,casual,168
29,DuSable Lake Shore Dr & Diversey Pkwy,casual,168
15,Adler Planetarium,casual,165
20,Michigan Ave & Lake St,casual,164
22,Dusable Harbor,casual,164
22,Shedd Aquarium,casual,163
27,Clark St & Lincoln Ave,casual,163
27,DuSable Lake Shore Dr & Belmont Ave,casual,162
12,Streeter Dr & Grand Ave,casual,159
25,Montrose Harbor,casual,157
30,Clark St & Lincoln Ave,casual,157
23,Wells St & Concord Ln,casual,154
25,Broadway & Barry Ave,casual,154
25,Broadway & Cornelia Ave,casual,154
14,Shedd Aquarium,casual,153
28,Shedd Aquarium,casual,153
29,Clark St & Armitage Ave,casual,153
19,Streeter Dr & Grand Ave,casual,152
23,Streeter Dr & Grand Ave,casual,152
25,Clark St & Armitage Ave,casual,152
17,Shedd Aquarium,casual,150
22,DuSable Lake Shore Dr & Monroe St,casual,150
27,Theater on the Lake,casual,150
15,Damen Ave & Pierce Ave,casual,149
18,DuSable Lake Shore Dr & Monroe St,casual,149
15,LaSalle St & Illinois St,casual,148
16,Shedd Aquarium,casual,148
27,Shedd Aquarium,casual,148
12,Millennium Park,casual,145
28,Clark St & Lincoln Ave,casual,145
30,Theater on the Lake,casual,145
20,Millennium Park,casual,144
23,Clark St & Armitage Ave,casual,144
29,Montrose Harbor,casual,144
15,Wells St & Elm St,casual,143
20,Theater on the Lake,casual,140
25,Michigan Ave & Lake St,casual,140
15,Wabash Ave & 9th St,casual,139
25,Indiana Ave & Roosevelt Rd,casual,139
22,Michigan Ave & Lake St,casual,138
22,Montrose Harbor,casual,137
26,DuSable Lake Shore Dr & North Blvd,casual,137
23,Southport Ave & Waveland Ave,casual,136
15,Wells St & Concord Ln,casual,135
15,,casual,135
21,Michigan Ave & Oak St,casual,135
22,Halsted St & Roscoe St,casual,135
20,Indiana Ave & Roosevelt Rd,casual,134
21,Indiana Ave & Roosevelt Rd,casual,134
22,DuSable Lake Shore Dr & Belmont Ave,casual,134
29,Wells St & Elm St,casual,134
22,Broadway & Waveland Ave,casual,133
25,Burnham Harbor,casual,133
24,State St & Chicago Ave,casual,132
25,Millennium Park,casual,132
25,Dusable Harbor,casual,132
27,Lincoln Ave & Fullerton Ave,casual,132
25,Lincoln Ave & Fullerton Ave,casual,131
28,Clark St & Schiller St,casual,131
15,Halsted St & Clybourn Ave,casual,130
15,Lincoln Ave & Fullerton Ave,casual,130
27,Wilton Ave & Diversey Pkwy,casual,130
27,DuSable Lake Shore Dr & Wellington Ave,casual,130
15,Montrose Harbor,casual,129
15,Halsted St & Roscoe St,casual,129
23,Ashland Ave & Division St,casual,129
30,Shedd Aquarium,casual,129
10,Streeter Dr & Grand Ave,casual,128
14,DuSable Lake Shore Dr & North Blvd,casual,128
26,Millennium Park,casual,128
27,Montrose Harbor,casual,128
29,Dusable Harbor,casual,128
24,Millennium Park,casual,127
15,Michigan Ave & Oak St,casual,126
7,Millennium Park,casual,125
18,Millennium Park,casual,125
25,Shedd Aquarium,casual,125
27,Wilton Ave & Belmont Ave,casual,125
22,Broadway & Cornelia Ave,casual,124
27,Indiana Ave & Roosevelt Rd,casual,124
29,Clark St & Lincoln Ave,casual,123
15,Kingsbury St & Kinzie St,casual,122
18,DuSable Lake Shore Dr & North Blvd,casual,122
25,DuSable Lake Shore Dr & Belmont Ave,casual,122
25,Field Museum,casual,122
29,Millennium Park,casual,122
15,Federal St & Polk St,casual,121
21,Wabash Ave & Grand Ave,casual,121
21,Michigan Ave & Washington St,casual,121
22,Lincoln Park Conservatory,casual,121
22,DuSable Lake Shore Dr & Diversey Pkwy,casual,121
23,Clark St & Lincoln Ave,casual,121
29,Indiana Ave & Roosevelt Rd,casual,121
14,Adler Planetarium,casual,120
30,Millennium Park,casual,120
9,Millennium Park,casual,119
14,Dusable Harbor,casual,119
17,DuSable Lake Shore Dr & Monroe St,casual,119
22,Clark St & Lincoln Ave,casual,119
25,Michigan Ave & Washington St,casual,119
27,Clark St & Elm St,casual,119
21,Michigan Ave & Lake St,casual,118
21,Wilton Ave & Belmont Ave,casual,118
22,Sheffield Ave & Wrightwood Ave,casual,118
28,Theater on the Lake,casual,118
28,Lakeview Ave & Fullerton Pkwy,casual,118
29,Shedd Aquarium,casual,118
15,Ellis Ave & 60th St,casual,117
21,Wells St & Elm St,casual,117
24,Sheffield Ave & Fullerton Ave,casual,117
29,Broadway & Barry Ave,casual,117
9,Shedd Aquarium,casual,116
10,DuSable Lake Shore Dr & Monroe St,casual,116
15,Bissell St & Armitage Ave*,casual,116
15,Pine Grove Ave & Waveland Ave,casual,116
15,Clark St & Wrightwood Ave,casual,116
23,Clark St & Wrightwood Ave,casual,116
25,Clark St & Wrightwood Ave,casual,116
13,Ellis Ave & 60th St,casual,115
15,Dearborn St & Erie St,casual,115
21,Clark St & Armitage Ave,casual,115
22,Damen Ave & Pierce Ave,casual,115
11,Shedd Aquarium,casual,114
13,Wells St & Concord Ln,casual,114
17,Dusable Harbor,casual,114
22,Wabash Ave & Grand Ave,casual,114
25,Clark St & Winnemac Ave,casual,114
25,Halsted St & Roscoe St,casual,114
21,DuSable Lake Shore Dr & Monroe St,casual,113
25,DuSable Lake Shore Dr & Diversey Pkwy,casual,113
29,Lakeview Ave & Fullerton Pkwy,casual,113
16,Ellis Ave & 60th St,casual,112
22,Wilton Ave & Belmont Ave,casual,112
22,DuSable Lake Shore Dr & Wellington Ave,casual,112
23,Theater on the Lake,casual,112
24,Lincoln Park Conservatory,casual,112
25,Southport Ave & Waveland Ave,casual,112
29,Halsted St & Roscoe St,casual,112
30,Lakefront Trail & Wilson Ave,casual,112
22,Adler Planetarium,casual,111
23,Broadway & Barry Ave,casual,111
25,DuSable Lake Shore Dr & Wellington Ave,casual,111
13,Millennium Park,casual,110
15,Wabash Ave & Grand Ave,casual,110
20,Wabash Ave & Grand Ave,casual,110
21,Clark St & Wrightwood Ave,casual,110
24,DuSable Lake Shore Dr & North Blvd,casual,110
27,Millennium Park,casual,110
27,Broadway & Barry Ave,casual,110
28,Clark St & Armitage Ave,casual,110
29,Wilton Ave & Belmont Ave,casual,110
30,Fairbanks Ct & Grand Ave,casual,110
22,Michigan Ave & Washington St,casual,109
23,Halsted St & Roscoe St,casual,109
27,Lakeview Ave & Fullerton Pkwy,casual,109
27,Clark St & Wrightwood Ave,casual,109
30,DuSable Lake Shore Dr & Belmont Ave,casual,109
15,Desplaines St & Kinzie St,casual,108
24,Sheffield Ave & Waveland Ave,casual,108
29,Dearborn Pkwy & Delaware Pl,casual,108
9,DuSable Lake Shore Dr & Monroe St,casual,107
19,DuSable Lake Shore Dr & North Blvd,casual,107
20,University Ave & 57th St,casual,107
27,Clark St & Armitage Ave,casual,107
29,Broadway & Cornelia Ave,casual,107
15,Lakeview Ave & Fullerton Pkwy,casual,106
15,Fort Dearborn Dr & 31st St,casual,106
23,Clark St & Winnemac Ave,casual,106
23,Sheridan Rd & Irving Park Rd,casual,106
25,Broadway & Waveland Ave,casual,106
27,Federal St & Polk St,casual,106
27,Fairbanks Ct & Grand Ave,casual,106
28,Wells St & Concord Ln,casual,106
30,Lakeview Ave & Fullerton Pkwy,casual,106
23,Broadway & Cornelia Ave,casual,105
24,Clark St & Lincoln Ave,casual,105
30,Federal St & Polk St,casual,105
15,Stockton Dr & Wrightwood Ave,casual,104
15,Theater on the Lake,casual,104
15,Shore Dr & 55th St,casual,104
25,Sheridan Rd & Irving Park Rd,casual,104
27,Clark St & Schiller St,casual,104
29,Sheffield Ave & Waveland Ave,casual,104
7,Streeter Dr & Grand Ave,casual,103
14,Michigan Ave & Lake St,casual,103
22,Sheffield Ave & Fullerton Ave,casual,103
23,Indiana Ave & Roosevelt Rd,casual,103
27,Wabash Ave & Roosevelt Rd,casual,103
27,Dearborn St & Erie St,casual,103
28,Sheffield Ave & Wrightwood Ave,casual,103
29,DuSable Lake Shore Dr & Belmont Ave,casual,103
30,Clark St & Elm St,casual,103
14,Streeter Dr & Grand Ave,casual,102
14,Michigan Ave & 8th St,casual,102
15,Clark St & Newport St,casual,102
15,Halsted St & Dickens Ave,casual,102
21,Wabash Ave & Wacker Pl,casual,102
22,State St & Chicago Ave,casual,102
22,Columbus Dr & Randolph St,casual,102
23,Adler Planetarium,casual,102
24,Halsted St & Roscoe St,casual,102
29,Sheffield Ave & Fullerton Ave,casual,102
