weeknum,member_casual,count_of_users
1,casual,9453
2,casual,9967
3,casual,7508
4,casual,4450
5,casual,4997
6,casual,10129
7,casual,10459
8,casual,9085
9,casual,14261
10,casual,12218
11,casual,12010
12,casual,14385
13,casual,14503
14,casual,9026
15,casual,18907
16,casual,8940
17,casual,8906
18,casual,12186
19,casual,10254
20,casual,14405
21,casual,17259
22,casual,19209
23,casual,15176
24,casual,13527
25,casual,18126
26,casual,11500
27,casual,17842
28,casual,15725
29,casual,18000
30,casual,16028
31,casual,1906
1,member,28480
2,member,35330
3,member,29987
4,member,22791
5,member,22909
6,member,33998
7,member,32260
8,member,30506
9,member,43607
10,member,41226
11,member,38440
12,member,45489
13,member,43361
14,member,19231
15,member,30949
16,member,22212
17,member,22279
18,member,18718
19,member,17683
20,member,20380
21,member,21240
22,member,19760
23,member,16485
24,member,14893
25,member,17936
26,member,13724
27,member,18130
28,member,18754
29,member,21064
30,member,19337
31,member,2622
