hour,start_station_name,member_casual,count_of_users,day_of_week,month
8,Streeter Dr & Grand Ave,member,7,Wednesday,1
15,Streeter Dr & Grand Ave,member,3,Sunday,1
13,Streeter Dr & Grand Ave,member,4,Sunday,1
16,Streeter Dr & Grand Ave,member,5,Wednesday,1
10,Streeter Dr & Grand Ave,member,1,Wednesday,1
16,Streeter Dr & Grand Ave,member,10,Tuesday,1
12,Streeter Dr & Grand Ave,member,3,Friday,1
16,Streeter Dr & Grand Ave,member,1,Saturday,1
16,Streeter Dr & Grand Ave,member,4,Monday,1
9,Streeter Dr & Grand Ave,member,3,Tuesday,1
17,Streeter Dr & Grand Ave,member,3,Thursday,1
22,Streeter Dr & Grand Ave,member,1,Friday,1
11,Streeter Dr & Grand Ave,member,2,Tuesday,1
7,Streeter Dr & Grand Ave,member,4,Tuesday,1
8,Streeter Dr & Grand Ave,member,3,Monday,1
6,Streeter Dr & Grand Ave,member,1,Thursday,1
14,Streeter Dr & Grand Ave,member,10,Sunday,2
12,Streeter Dr & Grand Ave,member,6,Sunday,2
16,Streeter Dr & Grand Ave,member,7,Saturday,2
11,Streeter Dr & Grand Ave,member,2,Saturday,2
17,Streeter Dr & Grand Ave,member,7,Monday,2
16,Streeter Dr & Grand Ave,member,2,Sunday,2
15,Streeter Dr & Grand Ave,member,14,Sunday,2
9,Streeter Dr & Grand Ave,member,3,Wednesday,2
17,Streeter Dr & Grand Ave,member,5,Saturday,2
16,Streeter Dr & Grand Ave,member,1,Wednesday,2
7,Streeter Dr & Grand Ave,member,3,Wednesday,2
10,Streeter Dr & Grand Ave,member,3,Sunday,2
15,Streeter Dr & Grand Ave,member,4,Saturday,2
18,Streeter Dr & Grand Ave,member,1,Thursday,2
9,Streeter Dr & Grand Ave,member,2,Tuesday,2
9,Streeter Dr & Grand Ave,member,1,Thursday,2
18,Streeter Dr & Grand Ave,member,9,Wednesday,3
10,Streeter Dr & Grand Ave,member,7,Saturday,3
14,Streeter Dr & Grand Ave,member,3,Saturday,3
9,Streeter Dr & Grand Ave,member,5,Sunday,3
11,Streeter Dr & Grand Ave,member,2,Tuesday,2
16,Streeter Dr & Grand Ave,member,3,Sunday,3
15,Streeter Dr & Grand Ave,member,10,Saturday,3
10,Streeter Dr & Grand Ave,member,2,Tuesday,2
15,Streeter Dr & Grand Ave,member,4,Sunday,3
21,Streeter Dr & Grand Ave,member,6,Thursday,3
17,Streeter Dr & Grand Ave,member,12,Wednesday,3
8,Streeter Dr & Grand Ave,member,18,Wednesday,3
15,Streeter Dr & Grand Ave,member,10,Wednesday,3
13,Streeter Dr & Grand Ave,member,8,Sunday,3
17,Streeter Dr & Grand Ave,member,14,Saturday,3
13,Streeter Dr & Grand Ave,member,4,Saturday,3
20,Streeter Dr & Grand Ave,member,3,Thursday,3
16,Streeter Dr & Grand Ave,member,4,Monday,3
9,Streeter Dr & Grand Ave,member,7,Thursday,3
7,Streeter Dr & Grand Ave,member,1,Saturday,3
8,Streeter Dr & Grand Ave,member,9,Thursday,3
20,Streeter Dr & Grand Ave,member,5,Tuesday,3
15,Streeter Dr & Grand Ave,member,10,Monday,3
16,Streeter Dr & Grand Ave,member,12,Saturday,3
14,Streeter Dr & Grand Ave,member,3,Friday,3
12,Streeter Dr & Grand Ave,member,4,Saturday,3
17,Streeter Dr & Grand Ave,member,5,Thursday,3
22,Streeter Dr & Grand Ave,member,2,Tuesday,3
11,Streeter Dr & Grand Ave,member,2,Thursday,3
14,Streeter Dr & Grand Ave,member,11,Tuesday,3
10,Streeter Dr & Grand Ave,member,1,Friday,3
7,Streeter Dr & Grand Ave,member,6,Wednesday,3
12,Streeter Dr & Grand Ave,member,3,Wednesday,3
6,Streeter Dr & Grand Ave,member,1,Sunday,3
20,Streeter Dr & Grand Ave,member,7,Monday,3
16,Streeter Dr & Grand Ave,member,4,Wednesday,3
14,Streeter Dr & Grand Ave,member,6,Thursday,3
8,Streeter Dr & Grand Ave,member,13,Monday,3
14,Streeter Dr & Grand Ave,member,12,Monday,3
18,Streeter Dr & Grand Ave,member,7,Tuesday,3
18,Streeter Dr & Grand Ave,member,3,Sunday,4
17,Streeter Dr & Grand Ave,member,13,Tuesday,3
19,Streeter Dr & Grand Ave,member,7,Tuesday,3
19,Streeter Dr & Grand Ave,member,4,Thursday,3
13,Streeter Dr & Grand Ave,member,6,Monday,3
16,Streeter Dr & Grand Ave,member,5,Tuesday,4
9,Streeter Dr & Grand Ave,member,7,Saturday,4
12,Streeter Dr & Grand Ave,member,1,Sunday,4
9,Streeter Dr & Grand Ave,member,1,Friday,4
21,Streeter Dr & Grand Ave,member,1,Sunday,4
17,Streeter Dr & Grand Ave,member,9,Friday,4
15,Streeter Dr & Grand Ave,member,11,Saturday,4
16,Streeter Dr & Grand Ave,member,5,Saturday,4
18,Streeter Dr & Grand Ave,member,9,Wednesday,4
11,Streeter Dr & Grand Ave,member,3,Sunday,4
10,Streeter Dr & Grand Ave,member,2,Monday,4
21,Streeter Dr & Grand Ave,member,4,Saturday,4
17,Streeter Dr & Grand Ave,member,7,Saturday,4
10,Streeter Dr & Grand Ave,member,3,Saturday,4
20,Streeter Dr & Grand Ave,member,1,Monday,4
14,Streeter Dr & Grand Ave,member,8,Saturday,4
18,Streeter Dr & Grand Ave,member,8,Thursday,4
21,Streeter Dr & Grand Ave,member,1,Friday,4
11,Streeter Dr & Grand Ave,member,1,Thursday,4
15,Streeter Dr & Grand Ave,member,5,Thursday,4
20,Streeter Dr & Grand Ave,member,9,Thursday,4
22,Streeter Dr & Grand Ave,member,1,Monday,4
19,Streeter Dr & Grand Ave,member,7,Tuesday,4
13,Streeter Dr & Grand Ave,member,2,Friday,4
13,Streeter Dr & Grand Ave,member,6,Saturday,4
19,Streeter Dr & Grand Ave,member,7,Friday,4
7,Streeter Dr & Grand Ave,member,3,Tuesday,4
0,Streeter Dr & Grand Ave,member,1,Saturday,4
21,Streeter Dr & Grand Ave,member,3,Wednesday,4
16,Streeter Dr & Grand Ave,member,6,Thursday,4
14,Streeter Dr & Grand Ave,member,5,Sunday,4
18,Streeter Dr & Grand Ave,member,5,Friday,4
21,Streeter Dr & Grand Ave,member,3,Thursday,4
18,Streeter Dr & Grand Ave,member,11,Tuesday,4
16,Streeter Dr & Grand Ave,member,3,Sunday,4
